country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Cuba,1971,1.74433024147105,-0.0586961912863691,9025709.0,37.8646618157455,49.2519783474597,8.58385901163629,6.703,5.20943037324992,68.918,39.024,75.6669320764419,50.7480216525403,56.9259078110045,47.2346368715084,21.2011173184358,60.976,-50012.0,3.87,29.008,161.945
Cuba,1972,1.57826871305972,-0.555884316516697,9169289.0,37.773372492315,49.2404830351437,4.82668584313927,6.533,5.3983523367162,69.462,38.2,75.9687522849402,50.7595169648563,56.8282751709688,51.9646182495345,24.3016759776536,61.8,-61788.0,3.724,27.96,157.307
Cuba,1973,1.39314016134818,-0.760765921665319,9297924.0,37.5912374413491,49.2289738407974,3.43448853582436,6.349,5.59566875335122,70.02,37.386,76.0157715055056,50.7710261592026,56.8130938052996,54.4785847299814,25.9217877094972,62.614,-64655.0,3.492,26.351,151.561
Cuba,1974,1.23117178546334,-0.956511650918069,9413105.0,37.2958212356167,49.2182357884667,0.984491815760862,6.183,5.80821600267839,70.57,36.577,75.7593857882019,50.7817642115333,56.8959627617049,52.4301675977654,24.5437616387337,63.423,-62793.0,3.199,24.31,142.39
Cuba,1975,1.06935882271993,-1.14485695823232,9514305.0,36.8463716922241,49.2072977636695,9.47642606915934,6.054,6.03785069103054,71.079,35.776,75.0829795687252,50.7927022363305,57.1157776167454,54.096834264432,26.7225325884544,64.224,-57074.0,2.853,21.89,130.395
Cuba,1976,0.905643059342413,-1.33871393812888,9600862.0,36.2113526889565,49.1947022131506,5.4279604586732,5.983,6.28438883925214,71.524,34.982,73.9001486169387,50.8052977868494,57.5042584717914,55.8379888268156,28.1843575418994,65.018,-51223.0,2.519,19.529,115.236
Cuba,1977,0.743867722263558,-1.52280239321131,9672546.0,35.3704151611383,49.1801990788148,8.7095028615293,5.974,6.54581568006064,71.895,34.198,72.1651446135839,50.8198009211852,58.0837691588011,56.219739292365,28.2216014897579,65.802,-46105.0,2.213,17.364,97.948
Cuba,1978,0.592089401589531,-1.70616223839023,9729986.0,34.3323738766106,49.1654895123868,6.59599856337493,6.02,6.81558055764831,72.201,33.421,69.9176221417824,50.8345104876132,58.8520455657411,55.3817504655494,28.268156424581,66.579,-37588.0,1.874,15.078,87.988
Cuba,1979,0.458608286902087,-1.86311595892791,9774711.0,33.1447139460185,49.1537848256276,1.08818330173155,6.136,7.08660337886205,72.447,32.654,67.3117015872059,50.8462151743724,59.7686826751195,54.5810055865922,27.7374301675978,67.346,-42543.0,1.76,14.447,81.127
Cuba,1980,0.351269965517945,-2.00365828671897,9809107.0,31.8657396641713,49.1462851445354,-4.84944295088555,6.262,7.35253474143977,72.752,31.894,64.5231372266189,50.8537148554646,60.781725594389,55.2793296089385,27.7467411545624,68.106,-43166.0,1.619,13.706,77.84
Cuba,1981,0.401401173121594,-1.96860868541988,9848560.0,30.5180284976672,49.161647707659,19.6883343337449,6.437,7.54865647624341,72.939,31.147,61.4639792508943,50.838352292341,61.9333150260893,55.2886405959032,27.9329608938547,68.853,-22159.0,1.564,13.649,76.957
Cuba,1982,0.6105467679555,-1.20701488124333,9908874.0,29.2370440255349,49.1962718457572,8.91823496493072,6.392,7.67380795871418,73.13,30.586,58.5058700225741,50.8037281542429,63.0891480157509,56.6387337057728,28.3985102420857,69.414,-21055.0,1.756,15.734,86.166
Cuba,1983,0.761228530374388,-0.923568872792345,9984591.0,28.1078227494658,49.2272716308344,5.4114707238347,6.379,7.79572281907806,73.309,30.075,56.014865536553,50.7727283691657,64.0964544314562,57.5325884543762,28.8640595903166,69.925,-19994.0,1.788,16.355,87.632
