country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Ecuador,1961,2.84659065946803,1.95337490186607,4751507.0,44.3146820908274,50.1251818222823,5.12441487941221,14.977,4.52513323932104,53.895,65.534,95.4644819982887,49.8748181777177,51.1601846698515,17.0134373645427,6.15879208206907,34.466,-1775.0,6.7,44.027,113.988
Ecuador,1962,2.88173808884545,1.97119279047225,4890425.0,44.5300198377462,50.1145748465459,4.91914694165033,14.596,4.44487998945695,54.401,64.94,95.9819968709725,49.8854251534542,51.0251001727969,17.0134373645427,6.15879208206907,35.06,-1795.0,6.676,43.89,116.504
Ecuador,1963,2.90020315645222,2.05587132909293,5034334.0,44.6588918555173,50.1052938841977,2.10636824681157,14.217,4.36415180596363,54.88,64.394,96.1670855495158,49.8947061158023,50.976956338519,17.0495593122381,6.17685305591677,35.606,-1778.0,6.646,43.619,115.742
Ecuador,1964,2.91573959589449,2.11121066972528,5183283.0,44.6940438430582,50.097438444651,7.40724536151572,13.869,4.28556531781447,55.305,63.878,96.0000847031099,49.902561555349,51.0203908391274,17.0495593122381,6.17685305591677,36.122,-1651.0,6.61,43.426,115.746
Ecuador,1965,2.92908231751735,2.11485301421587,5337351.0,44.6942458258558,50.0908566087012,3.27508248832196,13.553,4.21012181790913,55.664,63.36,95.7114617331701,49.9091433912988,51.0956323562351,17.0856812599335,6.19491402976448,36.64,-1456.0,6.564,43.144,112.988
Ecuador,1966,2.92476053285096,2.09746376131161,5495761.0,44.6828109883235,50.0842919394723,-0.339525639357646,13.267,4.13888085744631,55.942,62.838,95.3952820787041,49.9157080605277,51.1783081542301,17.0856812599335,6.19491402976448,37.162,-1251.0,6.507,42.653,108.023
Ecuador,1967,2.91722284104371,2.07984366249475,5658446.0,44.6584009107801,50.0776950739706,4.62107394070451,12.994,4.07253157492357,56.213,62.314,95.0494168971594,49.9223049260293,51.2690675142963,17.121803207629,6.2129750036122,37.686,-1116.0,6.436,42.358,106.347
Ecuador,1968,2.91235165041049,2.05980569552721,5825663.0,44.6213027273722,50.0710901291106,1.90943839921314,12.726,4.00992161835671,56.487,61.785,94.6708049129645,49.9289098708894,51.3687756542711,17.1037422337812,6.19491402976448,38.215,-1095.0,6.351,41.976,103.292
Ecuador,1969,2.89927012016043,2.03938605408272,5997037.0,44.568776213987,50.0641146224183,4.66923798032488,12.522,3.94953374474761,56.654,61.256,94.2438174035168,49.9358853775817,51.4816900412654,17.3204739199538,6.2129750036122,38.744,-1095.0,6.252,41.611,109.841
Ecuador,1970,2.87922547128411,2.00364126917255,6172215.0,44.4936623238173,50.0574862311663,6.87192932986029,12.138,3.89245189935866,57.152,60.722,93.7463430558869,49.9425137688337,51.613885776824,17.5372056061263,6.2310359774599,39.278,-1095.0,6.138,40.979,96.476
Ecuador,1971,2.85456946411862,1.96961984100931,6350944.0,44.3884247759073,50.0517976824165,6.29260619628307,11.765,3.83896472713348,57.633,60.187,93.1523243259683,49.9482023175835,51.7726104969592,17.7539372922988,6.24909695130761,39.813,-1095.0,6.011,40.354,92.687
Ecuador,1972,2.83592214277982,1.93634676634174,6533630.0,44.2552565920672,50.0471432680547,5.0176407036024,11.358,3.78820837637029,58.205,59.648,92.4685858445412,49.9528567319453,51.9565350315625,17.9706689784713,6.26715792515532,40.352,-1095.0,5.873,39.815,94.171
Ecuador,1973,2.81913902805976,1.90968404770531,6720443.0,44.0974203635088,50.0434020481601,13.9506821321823,10.927,3.74337673870606,58.837,59.108,91.7207200807684,49.9565979518399,52.1592028977851,18.1874006646438,6.28521889900303,40.892,-1102.0,5.727,39.172,93.541
Ecuador,1974,2.7978067683364,1.83734932772929,6911123.0,43.9124365171912,50.0398637175417,11.2085096276478,10.475,3.7096359014302,59.526,58.543,90.920115815258,49.9601362824583,52.3779275813786,18.6678225689929,6.33217743100708,41.457,-1141.0,5.577,38.503,93.813
Ecuador,1975,2.77772390852479,1.21804000049871,7105786.0,43.6974952524605,50.0356337532914,10.9721540015735,10.029,3.68807194587622,60.232,57.637,90.0619445048492,49.9643662467086,52.6144328016633,19.4516688339835,6.2129750036122,42.363,-1206.0,5.426,37.878,95.219
Ecuador,1976,2.75605424384648,1.15932090503882,7304349.0,43.4468561127076,50.030638259277,7.39718761930655,9.621,3.67930803963502,60.89,56.724,89.1294840693728,49.969361740723,52.8738358476573,20.0657419448057,6.06848721283052,43.276,-1288.0,5.276,37.229,95.238
Ecuador,1977,2.73213683901066,1.10591746244484,7506665.0,43.1614904887856,50.025754571752,1.60484211178151,9.23,3.68342666150681,61.559,55.809,88.1287633070638,49.974245428248,53.1550828497076,21.0771564802774,5.96012136974426,44.191,-1386.0,5.13,36.616,95.796
