country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
"Egypt, Arab Rep.",1961,2.60451812442641,1.9457284675322,27747867.0,42.1669085801606,49.8091131017145,5.1611141431878,20.738,3.75577343937416,46.024,61.728,84.9204167966763,50.1908868982854,54.0773179804653,2.57973780702195,2.51042242202019,38.272,2504.0,6.779,46.794,153.943
"Egypt, Arab Rep.",1962,2.62194328950544,2.05006895103322,28485022.0,42.0644480796882,49.815349274816,3.87561672366319,20.024,3.80189799744761,46.843,61.376,84.7279663019084,50.1846507251841,54.1336539228642,2.51644984680295,2.44412074940981,38.624,3984.0,6.755,46.168,145.852
"Egypt, Arab Rep.",1963,2.63622185854676,2.05942140881916,29245936.0,41.9007601603177,49.8199685967237,10.5180926175286,19.349,3.84424865047916,47.672,61.023,84.3148396269579,50.1800314032763,54.2549911892032,2.50138128484605,2.42402933346728,38.977,2806.0,6.718,45.685,147.683
"Egypt, Arab Rep.",1964,2.63446301996047,2.05266163952108,30026648.0,41.7885082978875,49.8247441694226,11.5075774740906,18.705,3.88459604474339,48.47,60.669,84.0708862981904,50.1752558305774,54.3268956573692,2.51745441760008,2.43307047064142,39.331,-1750.0,6.643,45.014,147.149
"Egypt, Arab Rep.",1965,2.60288990692825,2.01602721171228,30818469.0,41.7583034095837,49.8305504418761,4.91404229213488,18.127,3.92418740976089,49.128,60.314,84.1026952193347,50.1694495581239,54.3175091806554,2.68421316992315,2.59380179818173,39.686,-4593.0,6.518,44.078,145.878
"Egypt, Arab Rep.",1966,2.54584507652474,1.95385563831131,31613132.0,41.7565041996392,49.8407831667932,5.04640371259349,17.774,3.96112754723057,49.504,59.958,84.221878367682,50.1592168332068,54.2823682531302,2.79270681601286,2.69526344869155,40.042,-25834.0,6.433,43.693,153.744
"Egypt, Arab Rep.",1967,2.48454765543641,1.88735041562316,32408414.0,41.7307446763671,49.8564899883092,0.805264126957468,17.63,3.99311271449445,49.538,59.601,84.2430121096391,50.1435100116908,54.2761426091385,2.81380280275252,2.70631372745994,40.399,-30046.0,6.357,43.122,147.59
"Egypt, Arab Rep.",1968,2.42712134718019,1.82295860523905,33204629.0,41.6678650437564,49.8705585578465,-1.60679234953595,17.341,4.02059152656095,49.897,59.242,84.1229201861866,50.1294414421535,54.3115434296826,2.81380280275252,2.69928173188005,40.758,-43814.0,6.286,42.609,141.439
"Egypt, Arab Rep.",1969,2.3552253036218,1.74739341894386,33995955.0,41.5873211974778,49.8824279728261,5.27951751357298,17.304,4.04467972733815,49.797,58.883,83.9317281072618,50.1175720271739,54.3679990751841,2.84795820985484,2.73745542217088,41.117,-58834.0,6.195,42.153,137.98
"Egypt, Arab Rep.",1970,2.28580621281616,1.67255027758538,34781986.0,41.5034256741899,49.8939766876659,5.59851503849526,17.09,4.06639235704356,50.013,58.523,83.7216004438646,50.1060233123341,54.4301819687666,2.85599477623186,2.73745542217088,41.477,-70830.0,6.119,41.677,127.799
"Egypt, Arab Rep.",1971,2.20084374364208,1.58208172338718,35555969.0,41.4348158893544,49.901158139977,4.05734632658536,16.813,4.08868755498286,50.386,58.162,83.565399181792,50.098841860023,54.4764965556628,2.865035913406,2.74750113014215,41.838,-113627.0,6.031,41.417,130.081
"Egypt, Arab Rep.",1972,2.15569390488142,1.53134837683561,36330768.0,41.3852611288765,49.9037793469131,3.05568062512478,16.537,4.11175046054284,50.765,57.8,83.4761804672549,50.0962206530869,54.5029884105806,2.86804962579738,2.73745542217088,42.2,-111509.0,5.971,41.225,129.216
"Egypt, Arab Rep.",1973,2.15118273081426,1.52117368102177,37120776.0,41.3361528505782,49.9072193948996,3.50683016245965,16.378,4.13358955822461,50.852,57.437,83.3844291007015,50.0927806051004,54.5302575911971,2.86804962579738,2.73544628057662,42.563,-112685.0,5.888,40.739,123.414
