country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
IDA & IBRD total,1961,1.37225074201228,0.707074596153021,2329785708.0,40.2076750470577,49.7165675176564,1.16807088401796,16.1401916743565,3.82353831659743,47.7519842448028,75.5633031390997,79.2947648140383,50.2834324823436,55.9687866363449,34.8631971834172,9.17827971446037,24.4366968609003,-674432.0,5.08914106358088,34.2144504973226,104.525880383518
IDA & IBRD total,1962,1.92163879477279,1.28517945011217,2374555774.0,40.3607631258998,49.7125868379015,3.54866592162119,14.799340446498,3.83007634284732,50.8955927559266,75.0915968818782,79.8310553080396,50.2874131620985,55.8091605312529,34.9815718519857,9.21898383755129,24.9084031181218,-766263.0,5.71044675223152,39.4646399524288,109.459943656198
IDA & IBRD total,1963,2.40194627662598,1.79937515101558,2431591328.0,40.6640852617214,49.7043002473701,4.75922269290638,14.5919361666456,3.836487531519,51.3392580694108,74.6497181709473,80.8574500898368,50.2956997526299,55.4994272067596,35.0968964180393,9.28563264402317,25.3502818290527,-869246.0,6.0952690764841,40.9768552961984,112.300315023767
IDA & IBRD total,1964,2.36440533151958,1.74791933843093,2489084003.0,40.8982570556713,49.6965397366356,7.67879682400788,14.7660729193418,3.84578397560013,51.882104358188,74.200124170578,81.6866519042933,50.3034602633644,55.2559589687286,35.2064442604951,9.32944817287093,25.799875829422,-779706.0,5.85413209054566,39.4658423440908,106.70826411797
IDA & IBRD total,1965,2.34656499859398,2.02346594748425,2547491977.0,40.9812218868033,49.6920890678774,5.92303674489662,14.4967264433283,3.86610954415402,51.6696677357903,73.9658401030504,82.0575873329992,50.3079109321226,55.1526685690427,35.3361106001566,9.37870899861287,26.0341598969496,-836228.0,5.81554948241759,38.7795856550511,102.938335236836
IDA & IBRD total,1966,2.4086166140652,2.09458419279555,2608851292.0,41.001591923597,49.688527483796,5.02981932479203,13.9672132790257,3.89306992787632,52.3210705406396,73.7389395709518,82.2422374646518,50.311472516204,55.1053381485266,35.4527523998464,9.41306177978862,26.2610604290482,-854299.0,5.70654800593888,37.6652879054345,99.6162448619491
IDA & IBRD total,1967,2.35754472432383,2.02252807732593,2670356128.0,40.9286756458235,49.6846362729412,3.18965183728051,13.6569671021346,3.92396507729253,52.7950626665919,73.4975179735899,82.1334390923983,50.3153637270588,55.147359276884,35.5614164279775,9.45006546681315,26.5024820264101,-804773.0,5.55554887318226,37.1716966846664,95.9190320821637
IDA & IBRD total,1968,2.37563931397841,2.04245458717287,2733794158.0,40.8348433903559,49.6815104200472,6.02988656975991,13.2490009933436,3.95849681614522,53.456052769243,73.258250802303,81.9607690735064,50.3184895799528,55.2066597934989,35.6989939836676,9.49545017132774,26.741749197697,-888972.0,5.71858187764969,37.3968435158071,96.8416246138318
IDA & IBRD total,1969,2.4083253966775,2.0826023253327,2799632817.0,40.7570003226699,49.679529577058,8.04644360175315,13.0571480807459,3.99202616379042,53.8503612108816,73.0251866766843,81.834963824871,50.320470422942,55.2509735135396,35.8044796484245,9.50479543628476,26.9748133233157,-1060730.0,5.59493244383959,36.7564042469214,95.5317151491995
IDA & IBRD total,1970,2.39342497320069,2.0720613177928,2866639928.0,40.6397518882126,49.6781775438944,7.77629908295958,12.8871118654482,4.02332369943922,54.207542864011,72.7959510476529,81.5765061714006,50.3218224561056,55.3369244123482,35.9460714187192,9.51011139441014,27.2040489523471,-1608306.0,5.54225758320392,36.4071673119065,94.5189753382523
IDA & IBRD total,1971,2.35214078829367,2.00073022418073,2934067335.0,40.5253780845106,49.6801918187913,6.15196664649724,13.0843498952453,4.05721610533113,54.3169778456395,72.5460238900771,81.3300997014342,50.3198081812087,55.4174058101583,36.1237257774743,9.52101451789172,27.4539761099229,-1945149.0,5.35833823534131,35.5268190385404,94.3736389285726
IDA & IBRD total,1972,2.27698635961946,1.87609683037806,3000875648.0,40.3707587726511,49.6778041583927,5.98553035029785,12.4536530891051,4.09735117864575,55.3542528065266,72.2617724316839,80.9652033244516,50.3221958416073,55.5318900487031,36.3237163876423,9.59381136190157,27.7382275683161,-1835498.0,5.20756233918282,35.1244872293201,93.0563769410704
IDA & IBRD total,1973,2.26280609279014,1.81654500692446,3068779645.0,40.2070911032019,49.6691326910956,6.65701628586478,12.0568080114375,4.14201613215357,55.9890413725125,71.9465544402706,80.5852061960536,50.3308673089044,55.6508927646445,36.5038978083069,9.64922168220315,28.0534455597294,-1738186.0,5.06022584047297,34.438342143201,92.6228677157465
IDA & IBRD total,1974,2.20406115213268,1.70241848227445,3136417425.0,40.1100606374733,49.6609085663515,5.96753156626522,11.9810056176337,4.19418943002888,56.4588493110307,71.5935595851353,80.4369524204734,50.3390914336485,55.6957499324978,36.6712142319493,9.67427246269056,28.4064404148647,-1686998.0,4.86415520213754,33.3789465637538,92.6675763671256
IDA & IBRD total,1975,2.11176594263438,1.66908848180528,3202651220.0,40.0223198024559,49.6528648930982,3.99947098007662,11.8929837894052,4.24980606285834,56.9779211747824,71.2833432356075,80.3256853101546,50.3471351069018,55.7278741346858,36.8186371168539,9.69297695408927,28.7166567643925,-1390248.0,4.65040597675744,32.6377493956778,91.9610096174168
IDA & IBRD total,1976,2.05428273266672,1.52964070596231,3268442731.0,39.9216711900429,49.6472724679011,6.19793437407733,11.6981713830561,4.30414880228822,57.5197049745692,70.9170559152163,80.1706312374012,50.3527275320989,55.7741800076689,36.8054695230275,9.75164039517961,29.0829440847837,-1261105.0,4.52457967160807,31.640820848658,92.343274031096
IDA & IBRD total,1977,2.00489867478728,1.47111494532595,3333971696.0,39.6776015409799,49.6432206549419,4.57385746829505,11.2980746812548,4.3593198042713,58.0700191754711,70.5461196414126,79.5545193665393,50.3567793450581,55.9630786547487,37.0038562017217,9.80734490462993,29.4538803585874,-1492474.0,4.36739116725622,31.153709828068,89.5487366262923
IDA & IBRD total,1978,1.99888943508296,1.34029150582494,3400614104.0,39.2088885215702,49.6412558289409,3.73452701594343,10.9798525126643,4.41560568636771,58.5151810773814,70.0907391814589,78.2507745135181,50.3587441710591,56.3755057920621,37.2137371912012,9.88943134834,29.9092608185412,-1538928.0,4.2847239146773,30.8528586975086,87.0896888624704
IDA & IBRD total,1979,2.00802892982415,1.2270762923248,3468899419.0,38.7367572276228,49.6395081153371,4.65866581344849,10.7998282460038,4.46849393806423,58.9861257653212,69.5542381611656,76.971100885863,50.3604918846629,56.7947488343129,37.3773603903781,9.95261815384775,30.4457618388344,-1505570.0,4.25267420948164,30.6730483142545,86.1356905203003
IDA & IBRD total,1980,1.99561312215724,1.19102983761714,3538125231.0,38.348356435351,49.6345041378446,4.87756487157039,10.7142399906317,4.5041746788544,59.4185568841085,69.0056988717691,75.9231771422711,50.3654958621554,57.1474688857946,37.5279898142007,9.96897276569451,30.994301128231,-1862026.0,4.21535025060734,30.7230271741591,84.5166028623403
IDA & IBRD total,1981,2.01422929792278,1.19345572339252,3609391186.0,38.0016554362919,49.6269461463401,1.86063950358447,10.559648875537,4.51837593917833,59.8379383286345,68.4506228075598,74.9625332637096,50.3730538536599,57.4799686245298,37.6024366418968,9.99589272522097,31.5493771924402,-1311359.0,4.18630416071781,31.3514742423389,84.4388918863201
IDA & IBRD total,1982,2.07513788725697,1.30710507822013,3684291030.0,37.7272159966373,49.6206729352469,2.51608151404461,10.47857045979,4.5210303609647,60.2399794201733,67.9356680631516,74.1940899115777,50.3793270647531,57.751753642398,37.8093100024932,10.1166122968498,32.0643319368484,-1254191.0,4.20188939624661,31.5875743735337,85.6133653113101
IDA & IBRD total,1983,2.05625504019969,1.34156368194884,3760049450.0,37.4298204548983,49.6164334262132,1.41039192719352,10.507780079967,4.52453116675439,60.5507050994745,67.4600240460877,73.3847414695629,50.3835665737868,58.0456483783473,38.0151851485905,10.1812561447935,32.5399759539123,-1421554.0,4.04428155792293,30.8826754634955,85.3954638467401
IDA & IBRD total,1984,2.01388649290237,1.26851961935823,3835772578.0,37.0909015472607,49.6140978860972,4.53990043321355,10.378987338707,4.53595684367601,60.8878053769022,66.9672393971812,72.5110991733464,50.3859021139028,58.3731416090633,38.2715000368694,10.3436080061605,33.0327606028188,-1429174.0,4.01189937037307,30.5926069092317,85.4422255789113
IDA & IBRD total,1985,2.01539443301166,1.26122912079055,3913078525.0,36.7744433070982,49.6121100549094,4.42024788529163,10.2056085166481,4.55242175032104,61.2556578149978,66.4722642792754,71.7292530807717,50.3878899450906,58.6731349425808,38.5869137673862,10.5084062506662,33.5277357207246,-1589872.0,3.9593406546016,30.5751740130373,84.7806973098476
IDA & IBRD total,1986,2.03308764420976,1.27632804468631,3992634841.0,36.4870933154856,49.6084883721542,3.75342461992125,9.98472778822653,4.57400838006474,61.7200654139376,65.9793080923199,71.0394088872569,50.3915116278457,58.9388983044497,38.7464542900653,10.5087030912217,34.0206919076801,-1839656.0,3.94074100707239,30.7313138445946,84.083869886398
IDA & IBRD total,1987,2.04698168639761,1.29258146387228,4074363345.0,36.2496062467081,49.6036393412184,4.73757991570241,9.79873881592848,4.60153996055041,62.0608360982406,65.4915538158384,70.4867180964766,50.3963606587816,59.1488537927415,38.9420985412091,10.5477720066183,34.5084461841616,-2047346.0,3.89836618285451,30.578515393434,81.077768155257
IDA & IBRD total,1988,2.01942902566536,1.2635405754715,4156642221.0,36.0230701905364,49.5974080598252,4.1048093571936,9.73102993169037,4.63830775360117,62.2800363684544,65.0062505533205,69.9779707770106,50.4025919401748,59.3386220558624,39.0949779920705,10.5487862438478,34.9937494466795,-2202234.0,3.77365205756544,29.9211447930054,81.3112042973868
IDA & IBRD total,1989,1.96883531583605,1.23329780980454,4238479661.0,35.8139183477494,49.5903037680258,3.09495933531045,9.45642180436853,4.68787354036763,62.6661661923556,64.5372557006861,69.5386509905239,50.4096962319742,59.498208111883,39.2483566953275,10.5736067892825,35.4627442993139,-2424358.0,3.70811686825441,29.2874119415012,81.7012632576163
IDA & IBRD total,1990,1.9244878712183,1.20443271866151,4320048688.0,35.649250550986,49.5801057426079,2.12339119994589,9.40815950432015,4.74299748637384,62.8616267260641,64.0812787256883,69.2068351612048,50.4198942573921,59.6077519626402,39.3908565902271,10.5905193587609,35.9187212743117,-1709368.0,3.64524379131944,28.6970150421013,81.3763971069593
IDA & IBRD total,1991,1.86152570973061,1.13339080017438,4400467505.0,35.4739601949011,49.5709727689773,1.20530355094965,9.36882893733901,4.80111200248185,63.0209352157434,63.6232137735781,68.8533073070271,50.4290272310227,59.7249278026171,39.5043238671598,10.6230634321866,36.3767862264219,-3325909.0,3.42373555842856,28.0141463389677,82.2908126601844
IDA & IBRD total,1992,1.78710586797072,1.06926156269897,4479108518.0,35.2770896066547,49.5694150116177,1.6141309054444,9.2843713851516,4.86868493381463,63.3025381294626,63.1745345466195,68.4853770409436,50.4305849883823,59.8542254595307,36.860025004078,10.5534527842929,36.8254654533805,-3056343.0,3.31783945039571,27.2419567017878,81.3860071642632
IDA & IBRD total,1993,1.74621714757927,1.02931994330118,4557323479.0,35.0736319254283,49.5614052530909,3.45235245326738,9.25423940625216,4.94710964847572,63.5305843522347,62.7294021796471,68.1354261480006,50.4385947469091,59.979258426096,36.7136215073469,10.5441725019807,37.2705978203529,-2788094.0,3.2374104078343,26.7980440819733,80.8377548658968
IDA & IBRD total,1994,1.70757284091398,0.978622998747241,4635143097.0,34.8182567685485,49.5600861601267,3.38100914047617,9.22435678221716,5.02560763617459,63.7936339035825,62.2797936149461,67.6416742759848,50.4399138398733,60.1561355952769,36.8105635311855,10.5188406101577,37.7202063850539,-2777244.0,3.17148589704293,26.3812187436745,80.0397459916608
IDA & IBRD total,1995,1.66933935761509,0.938594653395299,4712519365.0,34.5096288974513,49.5697164782861,3.95125528858911,9.04671086085712,5.10242331839502,64.0809646420806,61.8321372717135,67.0015086679586,50.4302835217139,60.3879477841537,36.8153531576729,10.5415154358086,38.1678627282865,-2711916.0,3.10842134309265,25.908231305987,78.9265692775613
IDA & IBRD total,1996,1.64250866691134,0.914198003050927,4789922904.0,34.1629145721264,49.5768783284913,5.42375364173739,8.94028178305728,5.17766874245746,64.3426206931336,61.3890475778206,66.2758436019649,50.4231216715087,60.6594166854162,36.8485946494406,10.5366941353258,38.6109524221794,-3018548.0,3.04801838078522,25.5205499785128,76.4874286233415
IDA & IBRD total,1997,1.61196442087869,0.866677833078541,4867134757.0,33.7616953611314,49.5806158177127,5.21806590656581,8.79511371218523,5.2523397308847,64.7085608142555,60.9387327381511,65.4275854763057,50.4193841822873,60.9859649079839,37.0418452741404,10.5765811333815,39.061267261849,-3066192.0,2.99428834318558,25.1014302323676,74.3076861070273
IDA & IBRD total,1998,1.57541578008953,0.816741906180766,4943812366.0,33.3412090682866,49.577012884911,2.7286150249106,8.72456768251022,5.33075120356241,65.0239583926077,60.4817520568468,64.5392766371595,50.422987115089,61.328039728151,37.0982543611301,10.582692476155,39.5182479431532,-2998238.0,2.94924287737382,24.5788077097028,73.071482179316
IDA & IBRD total,1999,1.53009441701776,0.767095602801987,5019457363.0,32.9244027874376,49.5738764114135,3.67450822261634,8.58118961890801,5.4080274841543,65.3663640105662,60.0244334975797,63.6643889607177,50.4261235885865,61.6675697284081,37.1737155684115,10.6028699821921,39.9755665024203,-2925905.0,2.91316412697575,24.0633763615563,71.4517464727231
IDA & IBRD total,2000,1.49092478704256,0.706098392134976,5094293697.0,32.4971695475459,49.5706493602092,5.72471537231326,8.49928085667241,5.4856102914075,65.7052149220664,59.5591731620592,62.7840393136169,50.4293506397908,62.0172201610467,37.1958594622628,10.5671556074059,40.4408268379408,-2837319.0,2.91489632686337,23.7493576721672,70.1712066773805
IDA & IBRD total,2001,1.46864559544456,0.590569947430495,5169110817.0,32.0505241554631,49.5683329484661,3.65718497365346,8.42170692085048,5.56799163554278,66.0855327295897,59.0436560794412,61.8901771886166,50.4316670515339,62.3814842089941,37.2251784283165,10.5877322904442,40.9563439205588,-2836649.0,2.87352240228052,23.4606623645792,69.449959884986
IDA & IBRD total,2002,1.44286842825487,0.489611276908249,5243694285.0,31.5848510507761,49.5686811821794,4.64677503796875,8.34549669133066,5.6561487167554,66.4081392353918,58.4886002449842,60.996044244069,50.4313188178206,62.7590002324684,37.260367271077,10.603511173907,41.5113997550158,-3441437.0,2.84133696429585,23.1096934279379,67.2698355804187
IDA & IBRD total,2003,1.41658807632032,0.446085678511693,5317975833.0,31.1332102156971,49.56820027025,5.85472061032668,8.27369531167386,5.74403049790068,66.6892946894752,57.9285302320433,60.1476088799002,50.43179972975,63.1227592864022,37.16021952062,10.6783370973789,42.0714697679567,-3526943.0,2.8089900131171,22.7639462073953,65.1846703613859
IDA & IBRD total,2004,1.39525224126757,0.399763642315023,5392175010.0,30.6980780054691,49.5664848922963,7.55695579032634,8.20554340190824,5.82301375820102,66.9256871452095,57.3594441656842,59.3213631674943,50.4335151077037,63.4789082363299,37.1456396439271,10.6887510712134,42.6405558343158,-3654261.0,2.79476434690332,22.5602433895064,61.7602697139739
IDA & IBRD total,2005,1.37563172305121,0.35896815365291,5466351480.0,30.2656562461638,49.5659177347705,7.10096580334807,8.11985009552716,5.89515470273525,67.3222546092343,56.7838681311667,58.4996990554878,50.4340822652295,63.8391890511009,37.0618773547667,10.7351506778513,43.2161318688333,-4388407.0,2.77166366580117,22.3620020824314,57.6298277644203
IDA & IBRD total,2006,1.34821339735731,0.336842564856866,5540049563.0,29.8892511078634,49.566957936276,8.11240850217312,8.05509099975574,5.96379432149433,67.7174414847827,56.21688765343,57.7925714333695,50.433042063724,64.1469545706423,37.1101813168219,10.7857340650993,43.7831123465699,-5172620.0,2.75324846738911,22.1109185407418,55.9208185622741
IDA & IBRD total,2007,1.31457832952242,0.314572140759225,5612877854.0,29.5952493549502,49.5693871503017,8.70205555705932,8.00705473373927,6.01979319722458,67.9961909319204,55.6616987287059,57.2342585526609,50.4306128496983,64.3849574478252,37.1568797790571,10.8173867805596,44.3383012712941,-5955132.0,2.74618459744659,22.0404542217795,55.9470174333524
IDA & IBRD total,2008,1.31679742411154,0.278003257286528,5686788085.0,29.3524265233205,49.5725859307629,5.83585509540794,7.99017818483735,6.06061235779347,68.1797797983643,55.0907058393748,56.7553788287285,50.4274140692371,64.5869611188861,37.1101743080547,10.8170451108126,44.9092941606252,-5547947.0,2.74320499521262,21.9598333306331,57.2203682201665
IDA & IBRD total,2009,1.32615173754975,0.278574986443417,5762203524.0,29.1430565244228,49.5763642026101,2.96973926588133,7.87151825191501,6.10054060654389,68.6035800323798,54.5208595493674,56.341380663852,50.4236357973899,64.7564028690334,37.1454352187883,10.8663380466918,45.4791404506326,-4633168.0,2.73048117300168,21.7892808470028,56.2590277657715
IDA & IBRD total,2010,1.3310813941323,0.27809738086701,5838903143.0,28.9511183502457,49.577854178357,7.6831010647312,7.81062382418389,6.14919380758618,68.9006803255735,53.9540383291779,55.9831395694221,50.422145821643,64.8996878421682,37.2614812797594,10.9004857745241,46.0459616708221,-3567116.0,2.70181636775889,21.6182595483597,56.4857033031587
IDA & IBRD total,2011,1.35356218564353,0.339273299506161,5917936328.0,28.7766046198167,49.5778128190508,6.20346196644704,7.69604845015359,6.22039477455267,69.2698378110735,53.4139391543611,55.7073126586841,50.4221871809492,65.0030006056307,37.292555733839,10.9436629054467,46.5860608456389,-3946939.0,2.67773956576726,21.7710293213393,56.2371226492134
IDA & IBRD total,2012,1.36563622047809,0.358438707200321,5998753810.0,28.6328384211449,49.5786003278116,5.28463225246539,7.6105335966438,6.31591863069128,69.5860133097638,52.8830549346763,55.5489666149348,50.4213996721884,65.0512429481638,37.301721006948,10.9863352139778,47.1169450653237,-3929994.0,2.69305131458295,21.9049349431966,56.0852569141602
IDA & IBRD total,2013,1.35331833196202,0.320809821218447,6079936045.0,28.5082343082597,49.5795592137153,5.22325358422692,7.52154972149695,6.42882893704928,69.9111983022149,52.3442078118052,55.4719877950953,50.4204407862847,65.0629367546911,37.3571062646025,11.0153760671347,47.6557921881948,-3705429.0,2.65540416816928,21.3483008408606,55.9479424238649
