country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Sao Tome and Principe,1971,2.09561967512327,1.11659855499738,79226.0,46.0101481836771,48.1325080989777,5.3753300112341,12.719,4.63673541514149,56.841,69.795,102.621483375959,51.8674919010223,49.3531164011814,38.5416666666667,1.04166666666667,30.205,-432.0,6.49,38.538,110.436
Sao Tome and Principe,1972,2.01055122779243,1.49876713986037,80835.0,45.8508071998516,48.2928394269567,2.29103274583495,12.394,4.66134718871776,57.349,69.439,102.069793020698,51.7071605730433,49.4878456114307,38.5416666666667,1.04166666666667,30.561,-517.0,6.51,38.639,109.249
Sao Tome and Principe,1973,2.00488017405139,1.49067788398227,82472.0,45.7155155689204,48.4528611802217,1.59230097231978,12.059,4.68886409933068,57.941,69.083,101.630687235655,51.5471388197782,49.595620331749,38.5416666666667,1.04166666666667,30.917,-528.0,6.525,38.61,108.153
Sao Tome and Principe,1974,2.06054295897092,1.53794254923583,84189.0,45.5879034078086,48.6016628873772,5.68377544268081,12.018,4.71023530389956,58.042,68.723,101.202112659226,51.3983371126228,49.7018612882918,38.5416666666667,1.04166666666667,31.277,-474.0,6.534,38.522,105.834
Sao Tome and Principe,1975,2.17131649043641,1.64394778208468,86037.0,45.4726136858928,48.7342721055484,5.37809642757716,11.924,4.70957431352608,58.263,68.361,100.730250571602,51.2657278944516,49.8178120005811,38.5416666666667,1.04166666666667,31.639,-396.0,6.534,38.915,114.265
Sao Tome and Principe,1976,2.34453492381319,1.80956195431491,88078.0,45.3609300846977,48.8461797980252,1.63934426899741,11.77,4.68732260042235,58.576,67.996,100.190922108326,51.1538202019748,49.95174731488,38.5416666666667,1.04166666666667,32.004,-306.0,6.524,39.515,116.697
Sao Tome and Principe,1977,2.49036006382106,1.94948261725676,90299.0,45.2546539828791,48.9337466183284,23.4175288863271,11.661,4.64678457125771,58.83,67.63,99.6043237029996,51.0662533816716,50.0985614458632,38.5416666666667,1.04166666666667,32.37,-258.0,6.504,39.961,121.021
Sao Tome and Principe,1978,2.57997016224474,2.03422119061694,92659.0,45.1545190133663,49.0127300253748,2.89729998015633,11.434,4.60292363895379,59.325,67.262,99.035528633415,50.9872699746252,50.2425573476799,38.5416666666667,1.04166666666667,32.738,-278.0,6.473,40.458,126.678
Sao Tome and Principe,1979,2.51297351728444,1.96062904873059,95017.0,45.0395979687952,49.1065120724764,16.343158421232,11.287,4.58020890888521,59.714,66.891,98.4896594944642,50.8934879275236,50.3801931223196,38.5416666666667,1.04166666666667,33.109,-483.0,6.434,40.537,121.373
Sao Tome and Principe,1980,2.28177638731861,1.72208280003356,97210.0,44.9099886842917,49.2348595551226,-1.08135941306809,11.312,4.59932105750437,59.739,66.518,98.056313923638,50.7651404448774,50.4906902582039,38.5416666666667,1.04166666666667,33.482,-775.0,6.386,40.637,126.523
Sao Tome and Principe,1981,1.9961962365056,1.43105255096263,99170.0,44.7615206211556,49.4016856166017,-10.3139022470732,11.545,4.66622970656449,59.487,66.143,97.7388738235763,50.5983143833983,50.5722496722799,38.5416666666667,1.04166666666667,33.857,-1062.0,6.333,40.555,131.907
Sao Tome and Principe,1982,1.76015658605825,0.284681448209796,100931.0,44.7387584648995,49.5693061097074,3.09278362095506,11.628,4.68535590970113,59.558,65.174,97.7217074460791,50.4306938902926,50.5758856253994,34.375,1.04166666666667,34.826,-1206.0,6.276,40.19,133.482
Sao Tome and Principe,1983,1.68880284063265,0.0471149689929543,102650.0,44.8126878357907,49.7188185589331,-3.87397149637671,11.685,4.63665190770535,59.432,64.113,97.8223164386202,50.2811814410669,50.5506602565039,35.4166666666667,1.04166666666667,35.887,-1206.0,6.217,40.213,135.993
Sao Tome and Principe,1984,1.78332193938655,0.0911272503145136,104497.0,44.7902810607003,49.850555482452,-6.03046001626947,11.634,4.59247633903366,59.487,63.037,97.5611139470251,50.149444517548,50.617242600266,30.2083333333333,1.04166666666667,36.963,-1051.0,6.158,40.19,135.796
Sao Tome and Principe,1985,1.99908127582919,0.260772154203719,106607.0,44.918720159089,49.9549043788768,9.29988605889886,11.381,4.54941983171837,59.811,61.951,97.896788565064,50.0450956211232,50.5318600091926,31.25,2.08333333333333,38.049,-821.0,6.101,40.237,137.395
Sao Tome and Principe,1986,2.18867313473166,0.397428574279763,108966.0,45.1845291901639,50.0305892937472,-5.83211889942874,12.431,4.49817145636503,57.527,60.851,98.7378941800872,49.9694107062528,50.317299353471,31.25,2.08333333333333,39.149,-603.0,6.046,40.333,138.816
Sao Tome and Principe,1987,2.3974744703207,0.554959576845801,111610.0,45.3561508825374,50.082953677613,-2.93011348306682,10.596,4.44404623241645,61.017,59.74,99.2039694438495,49.917046322387,50.1998028850461,31.25,2.08333333333333,40.26,-472.0,5.992,40.245,131.445
