country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Slovenia,1992,-0.14669940294923,-0.199212423321133,1996498.0,19.9451374451374,51.5197975006238,-5.46369777775708,9.7,11.241023632328,73.3048780487805,49.457,45.3195978941193,48.4802024993762,68.8138389225346,28.0039721946375,9.9304865938431,50.543,-5.0,1.33,10.0,18.847
Slovenia,1993,-0.23830047754197,-0.290880086311401,1991746.0,19.4664114722989,51.5361084181815,2.8434193136729,10.0,11.5124157465703,73.2536585365854,49.431,44.8830530593005,48.4638915818185,69.0211727811307,27.8053624627607,9.9304865938431,50.569,-211.0,1.33,9.9,16.219
Slovenia,1994,-0.115694093241137,-0.170376842318923,1989443.0,18.9570759783454,51.5457721366701,5.32748574261765,9.7,11.8060517743613,73.4048780487805,49.404,44.4317234730236,48.4542278633299,69.2368722472933,27.2591857000993,9.73187686196624,50.596,-708.0,1.32,9.8,14.475
Slovenia,1995,0.0215614999899353,-0.0310365760905779,1989872.0,18.4204909231352,51.4566212663989,4.10715835567802,9.5,12.1554050864193,73.9585365853659,49.378,44.0421701529768,48.5433787336011,69.4241039904455,26.7130089374379,9.73187686196624,50.622,-763.0,1.29,9.5,13.127
Slovenia,1996,-0.0625361337459717,-0.11721175883057,1988628.0,17.8820761790084,51.3107807406207,3.20300580852732,9.4,12.5369568433487,74.4585365853658,49.351,43.7174199451184,48.6892192593793,69.5809669776429,26.0675273088381,9.48361469712016,50.649,-904.0,1.28,9.4,11.139
Slovenia,1997,-0.134454343022371,-0.187151281486132,1985956.0,17.3748183260061,51.2434501546565,5.04979345664498,9.5,12.8961648946542,74.7073170731707,49.325,43.4122768250447,48.7565498453435,69.7290167793397,24.5779543197617,8.58987090367428,50.675,-821.0,1.25,9.1,9.498
Slovenia,1998,-0.218117656735081,-0.270892618286664,1981629.0,16.9001181423734,51.2742258461212,3.27936544351304,9.6,13.2365729356896,74.8073170731708,49.299,43.1366798802686,48.7257741538788,69.863308921937,24.3296921549156,8.54021847070507,50.701,-1031.0,1.23,9.0,8.799
Slovenia,1999,0.0714308445137258,0.0166836488857609,1983045.0,16.444414908212,51.2406659822309,5.3326665718437,9.5,13.5712023747131,75.009756097561,49.272,42.889001615481,48.7593340177691,69.984382717075,24.8262164846077,8.49056603773585,50.728,-1206.0,1.21,8.8,8.233
Slovenia,2000,0.29607496005045,0.243285246074664,1988925.0,16.0219347601393,51.1421792455869,3.67237154968245,9.3,13.8995907453313,75.4121951219512,49.246,42.6971290163351,48.8578207544131,70.0784744945294,25.7199602780536,8.58987090367428,50.754,-1562.0,1.26,9.1,7.909
Slovenia,2001,0.157498742047657,0.104696130602699,1992060.0,15.6266094052571,51.1112842266093,3.21656033452891,9.3,14.2326027862982,75.7585365853659,49.22,42.570354418367,48.8887157733907,70.1407878084446,25.3227408142999,8.58987090367428,50.78,-1434.0,1.21,8.8,7.005
Slovenia,2002,0.123915442323272,-0.0326420032031289,1994530.0,15.2286785696102,51.0992578220912,3.50559805692072,9.4,14.5311924233037,76.0073170731707,49.143,42.3688042485153,48.9007421779088,70.240129007086,25.0744786494538,8.3416087388282,50.857,5397.0,1.21,8.8,6.288
Slovenia,2003,0.0602967792572922,-0.398580605315863,1995733.0,14.8538902082349,51.0837193662202,2.96026028579455,9.7,14.7588621057031,76.8585365853659,48.918,42.0711418894003,48.9162806337798,70.3872476860619,25.3227408142999,8.58987090367428,51.082,8388.0,1.2,8.7,5.828
Slovenia,2004,0.0640662022616923,-0.399044384315627,1997012.0,14.5503015818681,51.0762731334015,4.35919277843992,9.3,14.9854398823271,77.2073170731707,48.692,41.9158885146179,48.9237268665985,70.4642585358048,24.428997020854,8.73882820258193,51.308,8061.0,1.25,9.0,5.671
Slovenia,2005,0.173208905073743,-0.289914232994981,2000474.0,14.3187638933678,51.0434355427603,3.79797264198649,9.4,15.2333786500603,77.6121951219512,48.467,41.9489658274977,48.9565644572398,70.4478574565719,25.2730883813307,8.73882820258193,51.533,8289.0,1.26,9.1,5.915
Slovenia,2006,0.31911453657107,-0.146254160432993,2006868.0,14.1487294081481,50.9532158429326,5.746396900645,9.1,15.4867264328348,78.0865853658537,48.242,42.1169812282774,49.0467841570674,70.3645441590171,24.3793445878848,8.83813306852036,51.758,8036.0,1.31,9.4,5.252
Slovenia,2007,0.559207815536831,0.0917821966717464,2018122.0,14.0624219996847,50.7493453840265,6.98016075450694,9.2,15.7561996195191,78.5609756097561,48.017,42.4879231487221,49.2506546159735,70.1813783807962,24.7269116186693,8.68917576961271,51.983,7993.0,1.38,9.8,5.423
Slovenia,2008,0.158140843634363,-0.313687404163323,2021316.0,14.0657501623622,50.5963697344212,3.50984151699558,9.1,16.0257232798091,78.7658536585366,47.791,43.0440911715751,49.4036302655789,69.9085265578287,30.7035569983421,9.10395012458925,52.209,7583.0,1.53,10.8,5.614
Slovenia,2009,0.903875535210913,0.434043164286352,2039669.0,14.116596873842,50.5218340064325,-7.54843779134178,9.2,16.2194743979452,78.9707317073171,47.567,43.5463370759947,49.4781659935675,69.6639287282128,31.0297928104121,9.14582692174051,52.433,7660.0,1.53,10.7,5.588
Slovenia,2010,0.43607948463593,-0.0380402767610163,2048583.0,14.1970920447434,50.4767163647675,1.34374847220215,9.1,16.25613824028,79.4219512195122,47.342,43.7880907376381,49.5232836352325,69.5467697149766,30.9666339061461,9.16252196443994,52.658,7640.0,1.57,10.9,5.319
Slovenia,2011,0.207732702329724,-0.268652224120364,2052843.0,14.3140512032954,50.5123476916289,0.861327732719303,9.1,16.364642526361,79.9707317073171,47.117,44.2557506440356,49.4876523083711,69.3213062703436,30.8056189814355,9.15069989079718,52.883,390.0,1.56,10.7,5.164
Slovenia,2012,0.210024305900448,-0.26865024923792,2057159.0,14.4591258914618,50.50622869001,-2.63943875676689,9.4,16.6721111999204,80.1243902439024,46.892,45.2037071022206,49.49377130999,68.8687629086179,30.36826717364,9.1185712087443,53.108,219.0,1.58,10.7,4.813
Slovenia,2013,0.135726228915631,-0.343098039454209,2059953.0,14.608990797754,50.4729527990578,-1.02928277204056,9.4,17.0364236772842,80.3219512195122,46.668,46.2959280491338,49.5270472009422,68.3545855249618,30.298411122145,9.1837140019861,53.332,210.0,1.55,10.2,4.763
Slovenia,2014,0.0983519219451147,-0.384995868934873,2061980.0,14.7542769180647,50.4422366886902,2.76815883065036,9.2,17.4491798949066,81.0780487804878,46.443,47.500162738179,49.5577633113097,67.7965431870287,30.5283018867925,9.13803376365442,53.557,-225.0,1.58,10.3,4.966
Slovenia,2015,0.075190689011533,-0.408290249866277,2063531.0,14.8706641766729,50.4178991012876,2.21008160650594,9.6,17.894867607751,80.7756097560976,46.219,48.7332456876296,49.5821008987124,67.234468215576,30.6062772432556,9.14678343411476,53.781,7934.0,1.57,10.0,4.679
Slovenia,2016,0.0731972072415279,-0.445239377449271,2065042.0,14.9596176113147,50.382875879329,3.19185251782498,9.5,18.3266188840298,81.1756097560976,45.98,49.8940600304718,49.617124120671,66.7137635046554,30.6563399860987,9.14804885314269,54.02,7684.0,1.58,9.9,4.292
Slovenia,2017,0.0651590392490152,-0.486592250330583,2066388.0,15.0486181800159,50.3247900877081,4.81538063231366,9.9,18.761151395926,81.0292682926829,45.727,51.0796952945245,49.6752099122919,66.190230424058,30.5411136105194,9.1369096389431,54.273,7460.0,1.62,9.8,4.182
