country name,year,population growth,rural population growth,"population, total",population ages 0-14,"population, female",gdp growth,"death rate, crude",population ages 65 and above,"life expectancy at birth, total",rural population,age dependency ratio,"population, male",population ages 15-64,agricultural land,arable land,urban population,net migration,"fertility rate, total","birth rate, crude",adolescent fertility rate
Trinidad and Tobago,1961,2.09868042989043,0.800909294941281,865028.0,43.5539910580877,49.7791793721557,14.037070864503,8.105,3.11146177433665,62.865,64.996,87.4956378871985,50.2208206278443,53.3345471675756,18.9083820662768,11.1111111111111,35.004,-8392.0,5.301,36.987,127.248
Trinidad and Tobago,1962,1.88846794244867,0.556401948025196,881519.0,43.530801077004,49.8587811323413,2.74246314643362,7.907,3.21325847017565,63.427,64.136,87.7723602173557,50.1412188676587,53.2559404528204,18.9083820662768,11.1111111111111,35.864,-8903.0,5.219,36.315,122.957
Trinidad and Tobago,1963,1.81425936619852,0.448432431813446,897658.0,43.48200733576,49.9310329447316,5.60459724643465,7.758,3.32638005029758,63.822,63.266,87.9996816613924,50.0689670552684,53.1916126139424,19.1033138401559,11.1111111111111,36.734,-8682.0,5.058,35.139,117.373
Trinidad and Tobago,1964,1.7383656503049,0.339265228020413,913399.0,43.3825505706977,49.9986855969909,7.63049977210248,7.785,3.45166600156886,63.843,62.387,88.0907960199005,50.0013144030091,53.1657834277334,19.1033138401559,11.1111111111111,37.613,-8341.0,4.851,33.732,111.443
Trinidad and Tobago,1965,1.6356647790464,0.207035963387792,928462.0,43.205406788104,50.0755580687724,0.693850281194557,7.68,3.58813630060449,64.147,61.502,87.9470123602738,49.9244419312276,53.2064569112915,19.1033138401559,11.1111111111111,38.498,-8077.0,4.59,32.066,104.975
Trinidad and Tobago,1966,1.51114998635065,0.0467472583893124,942599.0,42.9622246575691,50.170637243673,4.05682156067668,7.613,3.7368488614989,64.376,60.608,87.6139996098835,49.8293627563271,53.300926480932,19.1033138401559,11.1111111111111,39.392,-7838.0,4.292,30.291,100.587
Trinidad and Tobago,1967,1.37832217651322,-0.12102754021558,955681.0,42.652098346624,50.2744615847882,2.04251771480521,7.476,3.89648847261796,64.798,59.706,87.0857925904175,49.7255384152118,53.451413180758,19.1033138401559,11.1111111111111,40.294,-7991.0,4.061,28.887,93.117
Trinidad and Tobago,1968,1.24969131494457,-0.284491718120679,967699.0,42.2514943946959,50.3726499113525,5.21514161490035,7.642,4.05983469041784,64.668,58.797,86.2589381093072,49.6273500886475,53.6886709148863,19.1033138401559,11.1111111111111,41.203,-8478.0,3.921,28.186,89.745
Trinidad and Tobago,1969,1.12448078807385,-0.438763677657963,978642.0,41.7087658203919,50.4656849249418,2.73068461003507,7.725,4.21911178960233,64.685,57.885,84.938167552327,49.5343150750582,54.0721223900057,19.1033138401559,11.1111111111111,42.115,-8200.0,3.646,26.643,82.934
Trinidad and Tobago,1970,1.04172055898979,-0.56045067606736,988890.0,40.9725343705901,50.5076300846218,3.53363567797224,7.687,4.31316713023333,65.057,56.965,82.767472979167,49.4923699153782,54.7142984991766,19.1033138401559,11.1111111111111,43.035,-8751.0,3.603,26.675,83.409
